names,prices,ratings,totalratings,restypes,areas,offers
PIZZA TREAT CO.,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowIndian","Madhapur, Madhapur",
Sri Navtara by Narsing Bhel Puri,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Chinese, Indian, Chaat, North Indian","Madhapur, Madhapur",
Brickwood,--Too Few RatingsClosedFor Delivery₹ 700Cost for two,--Too Few RatingsClosedFor Delivery₹ 700Cost for two,Too Few Ratings,"Restaurant ClosedItalian, Pizzas","madhapur main road, Madhapur",
Paschima Ruchulu,3.9500+ ratings-- MINSDelivery Time₹ 250Cost for two,3.9500+ ratings-- MINSDelivery Time₹ 250Cost for two,500+ ratings,"Andhra, Coastal, South Indian, Home Food, Biryani, Beverages","Madhapur, Madhapur",Offer30% off on all orders
Fat Chefs,4.020+ ratings-- MINSDelivery Time₹ 300Cost for two,4.020+ ratings-- MINSDelivery Time₹ 300Cost for two,20+ ratings,"American, Continental, Chinese, Indian, Desserts, Italian, North Indian","Madhapur, Madhapur",
Maharaja Chat and Foods,4.1500+ ratingsClosedFor Delivery₹ 200Cost for two,4.1500+ ratingsClosedFor Delivery₹ 200Cost for two,500+ ratings,"Opens next at 2 pm, todayFast Food","madhapur, Madhapur",Offer10% off up to ₹100 on orders above ₹500 | Use code JUMBO10% off up to ₹40 | Use code SWIGGYIT
Chai Tales,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowFast Food, Snacks, Beverages","Madhapur, Madhapur",
Nanking Express,3.5100+ ratings-- MINSDelivery Time₹ 300Cost for two,3.5100+ ratings-- MINSDelivery Time₹ 300Cost for two,100+ ratings,Chinese,"60 FEET ROAD ,AYYAPPA  SOCIETY, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
SLAY Coffee,4.3100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.3100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Beverages, Cafe, Desserts","Hi-tech City, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
Gongura Biryani's,3.020+ ratings-- MINSDelivery Time₹ 200Cost for two,3.020+ ratings-- MINSDelivery Time₹ 200Cost for two,20+ ratings,Indian,"Ayyappa society, Madhapur",
Nidhi Foods,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowSouth Indian, Chinese","Madhapur, Madhapur",
TAKE A SHAKE,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowBeverages","Madhapur, Madhapur",
Sandwich Junction,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,Fast Food,"Madhapur, Madhapur",
Pav Shack,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 11:30 am, tomorrowAndhra, Chinese, Fast Food, Hyderabadi, Indian, Snacks, Street Food","Madhapur, Madhapur",
Abhiruchi Hotel,4.01000+ ratings-- MINSDelivery Time₹ 400Cost for two,4.01000+ ratings-- MINSDelivery Time₹ 400Cost for two,1000+ ratings,"Andhra, Biryani","Durgam Cheruvu Road, Madhapur",Offer15% off up to ₹45 | Use code SWIGGYIT
Express Kitchens,3.950+ ratingsClosedFor Delivery₹ 200Cost for two,3.950+ ratingsClosedFor Delivery₹ 200Cost for two,50+ ratings,"Opens next at 11:30 am, tomorrowChinese","Madhapur, Madhapur",Offer50% off up to ₹100 | Use code TRYNEW50% off up to ₹100 | Use code SWIGGYIT
Broken Egg,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,Too Few Ratings,Indian,"Madhapur, Madhapur",Offer15% off up to ₹45 | Use code SWIGGYIT
Andhra Bowls,--Too Few Ratings-- MINSDelivery Time₹ 250Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 250Cost for two,Too Few Ratings,"North Indian, South Indian, Combo","Madhapur, Madhapur",
Burger It Up,4.1100+ ratings-- MINSDelivery Time₹ 250Cost for two,4.1100+ ratings-- MINSDelivery Time₹ 250Cost for two,100+ ratings,"American, Continental, Fast Food, Beverages, Desserts, Snacks","Madhapur, Madhapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO40% off up to ₹80 | Use code SWIGGYIT
The Thickshake Project,3.150+ ratings-- MINSDelivery Time₹ 200Cost for two,3.150+ ratings-- MINSDelivery Time₹ 200Cost for two,50+ ratings,"Beverages, Ice Cream","Madhapur, Madhapur",Offer60% off up to ₹120 | Use code DEAL6050% off up to ₹100 | Use code TRYNEW
KFC,4.0500+ ratings-- MINSDelivery Time₹ 400Cost for two,4.0500+ ratings-- MINSDelivery Time₹ 400Cost for two,500+ ratings,"American, Fast Food, Snacks","Shilpakalathoranam, Hitec City, Madhapur, Madhapur",
Meat & Bones,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,Too Few Ratings,"Indian, Continental","Madhapur, Madhapur",
Burger Division,4.7500+ ratingsClosedFor Delivery₹ 600Cost for two,4.7500+ ratingsClosedFor Delivery₹ 600Cost for two,500+ ratings,"Opens next at 11:30 am, tomorrowAmerican, Fast Food, Indian","Madhapur, Madhapur",Offer50% off up to ₹100 | Use code TRYNEW50% off up to ₹100 | Use code SWIGGYIT
Amma Food Parlor,--Too Few RatingsClosedFor Delivery₹ 180Cost for two,--Too Few RatingsClosedFor Delivery₹ 180Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowNorth Indian, South Indian, Chinese, Fast Food","Patrika Nagar, Madhapur, Madhapur",
Nirvana Kitchen,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowBiryani, Home Food, Fast Food, Snacks, Beverages, Andhra, Chinese, Combo, Indian, Juices, Street Food, South Indian, Continental, Desserts, Ice Cream, Cafe","Madhapur, Madhapur",
Flames & Pots,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowBiryani, Kebabs","Retro Drive-In, Madhapur",
TICKLES CAFE,4.020+ ratingsClosedFor Delivery₹ 250Cost for two,4.020+ ratingsClosedFor Delivery₹ 250Cost for two,20+ ratings,"Opens next at 11 am, tomorrowBeverages, Italian","Madhapur, Madhapur",Offer20% off up to ₹300 on orders above ₹1000 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
Sanglo kitchen,--Too Few RatingsClosedFor Delivery₹ 500Cost for two,--Too Few RatingsClosedFor Delivery₹ 500Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowSouth Indian, Chinese","Madhapur, Madhapur",
Fitkitchn,--Too Few RatingsClosedFor Delivery₹ 180Cost for two,--Too Few RatingsClosedFor Delivery₹ 180Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowChinese, Snacks","Madhapur, Madhapur",
BEAN THERE,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowSnacks, Desserts","Madhapur, Madhapur",
RoosterFire,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,Too Few Ratings,"Fast Food, Combo","Madhapur, Madhapur",
Goli Soda,4.2100+ ratings-- MINSDelivery Time₹ 100Cost for two,4.2100+ ratings-- MINSDelivery Time₹ 100Cost for two,100+ ratings,"Beverages, Desserts, Snacks, Chaat, Combo, Juices","Hitech City, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
McDonald's,4.4100+ ratings-- MINSDelivery Time₹ 400Cost for two,4.4100+ ratings-- MINSDelivery Time₹ 400Cost for two,100+ ratings,Fast Food,"Inorbit Mall Food Court, Madhapur",
Wow shakes,4.920+ ratings-- MINSDelivery Time₹ 340Cost for two,4.920+ ratings-- MINSDelivery Time₹ 340Cost for two,20+ ratings,Indian,"Chandhanayak Nagar, Madhapur",Offer50% off on orders above ₹199
Great greens,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowChinese, Indian","Madhapur, Madhapur",
Subway,--Too Few Ratings-- MINSDelivery Time₹ 350Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 350Cost for two,Too Few Ratings,"Fast Food, Salads, Snacks, Desserts, Beverages","Mindspace, IT Raheja Park, Madhapur",
Lassi Shop,3.6100+ ratings-- MINSDelivery Time₹ 100Cost for two,3.6100+ ratings-- MINSDelivery Time₹ 100Cost for two,100+ ratings,"Ice Cream, Beverages, Fast Food, Desserts, North Indian","Ayyappa Society, Madhapur",
Organic Prapancham,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowIndian","petrol pump, near, Same place, 1-85, Madhapur, Madhapur",
Tilaks Kitchen,4.350+ ratings-- MINSDelivery Time₹ 1000Cost for two,4.350+ ratings-- MINSDelivery Time₹ 1000Cost for two,50+ ratings,"Andhra, South Indian","Ayyappa Society, Madhapur",Offer15% off up to ₹300 on orders above ₹800 | Use code PARTY
Babai Food Court,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowSVANidhi Street Food Vendor, Indian, Snacks","Madhapur, Madhapur",
Red Dragon,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowChinese","Near Indian Oil Petrol Pump, Madhapur",
little more cafe,--Too Few Ratings-- MINSDelivery Time₹ 350Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 350Cost for two,Too Few Ratings,"Pizzas, Pastas, Salads","Madhapur, Madhapur",Offer50% off up to ₹100 | Use code SWIGGYIT
DAVANAGERE BENNE DOSA,4.6100+ ratings-- MINSDelivery Time₹ 100Cost for two,4.6100+ ratings-- MINSDelivery Time₹ 100Cost for two,100+ ratings,Fast Food,"Madhapur, Madhapur",
SRI GANESHA TIFFEN CENTRE,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowIndian","Madhapur, Madhapur",
ITC Kohenur - Fabelle Chocolates,4.650+ ratings-- MINSDelivery Time₹ 600Cost for two,4.650+ ratings-- MINSDelivery Time₹ 600Cost for two,50+ ratings,"Desserts, Sweets, Bakery","Madhapur, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO40% off up to ₹80 | Use code SWIGGYIT
CAFE OF DESERTS,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Restaurant ClosedDesserts, Beverages, Ice Cream","Madhapur, Madhapur",
Slurps,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 11:30 am, tomorrowPan-Asian","Madhapur, Madhapur",
DRINK YOUR VITAMINS,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,"Indian, Juices","Madhapur, Madhapur",
Nanamma Gari Vantillu,3.3100+ ratings-- MINSDelivery Time₹ 250Cost for two,3.3100+ ratings-- MINSDelivery Time₹ 250Cost for two,100+ ratings,"Andhra, Home Food, South Indian","Madhapur, Madhapur",Offer50% off on all orders
Barista,4.320+ ratings-- MINSDelivery Time₹ 350Cost for two,4.320+ ratings-- MINSDelivery Time₹ 350Cost for two,20+ ratings,"Beverages, Snacks, Desserts, Cafe","Vittal Rao Nagar, Madhapur",Offer30% off up to ₹300 on orders above ₹600 | Use code PARTY40% off up to ₹80 | Use code SWIGGYIT
Subham Kitchens,--Too Few RatingsClosedFor Delivery₹ 700Cost for two,--Too Few RatingsClosedFor Delivery₹ 700Cost for two,Too Few Ratings,"Restaurant ClosedAndhra, Biryani, Hyderabadi","Opp Hanuman Temple Lane, Madhapur",
SaiRam Ki Bandi,4.350+ ratingsClosedFor Delivery₹ 150Cost for two,4.350+ ratingsClosedFor Delivery₹ 150Cost for two,50+ ratings,"Opens next at 4 pm, todaySouth Indian","Circle No.11
(Serilingampally-1), Madhapur",
Crazy woks,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowChinese","Madhapur, Madhapur",
Happy Healthy Foods,3.0100+ ratings-- MINSDelivery Time₹ 300Cost for two,3.0100+ ratings-- MINSDelivery Time₹ 300Cost for two,100+ ratings,"South Indian, Andhra, Biryani, Juices, Desserts, Healthy Food","Ayyappa society, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
HEALTHYWAY BY ARYAN,--Too Few RatingsClosedFor Delivery₹ 800Cost for two,--Too Few RatingsClosedFor Delivery₹ 800Cost for two,Too Few Ratings,"Opens next at 9 am, tomorrowIndian","Madhapur, Madhapur",
Press N Spinh,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,"Juices, Beverages, Continental","Madhapur, Madhapur",Offer40% off up to ₹80 | Use code SWIGGYIT
IDLI TUNES,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 4 pm, tomorrowSouth Indian","Madhapur, Madhapur",
Press N Spinh,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,"Juices, Beverages, Continental","Madhapur, Madhapur",Offer40% off up to ₹80 | Use code SWIGGYIT
The Bowl Tree,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 300Cost for two,Too Few Ratings,"Indian, Chinese, Beverages","Madhapur, Madhapur",Offer40% off on all orders
SRI AYYAPPA GUPTHA'S KITCHEN,--Too Few RatingsClosedFor Delivery₹ 170Cost for two,--Too Few RatingsClosedFor Delivery₹ 170Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowSouth Indian","Madhapur, Madhapur",Offer₹30 off on orders above ₹150
Dusk 2 Dawn,4.2100+ ratings-- MINSDelivery Time₹ 400Cost for two,4.2100+ ratings-- MINSDelivery Time₹ 400Cost for two,100+ ratings,"North Indian, Chinese","Vital Rao nagar, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
Tabla,4.120+ ratings-- MINSDelivery Time₹ 900Cost for two,4.120+ ratings-- MINSDelivery Time₹ 900Cost for two,20+ ratings,"North Indian, Chinese, Hyderabadi, Biryani, Andhra, Haleem","Hitech City main Rd., Madhapur",
BADHAMIS KITCHEN,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,"Biryani, Desserts, Indian","Madhapur, Madhapur",
Rayalaseema Ruchulu,4.0100+ ratings-- MINSDelivery Time₹ 450Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 450Cost for two,100+ ratings,"Rayalaseema, Hyderabadi, Andhra, South Indian, Biryani, Telangana, Chinese","Hitech City, Madhapur",Offer15% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Pizza Hut,3.7500+ ratings-- MINSDelivery Time₹ 300Cost for two,3.7500+ ratings-- MINSDelivery Time₹ 300Cost for two,500+ ratings,"Pizzas, Fast Food","Hitech City Road, Madhapur",
Jaggi De Paranthe(Jassi De Paranthe),4.11000+ ratings-- MINSDelivery Time₹ 300Cost for two,4.11000+ ratings-- MINSDelivery Time₹ 300Cost for two,1000+ ratings,"North Indian, Chinese","Hitech city road, Madhapur",Offer15% off up to ₹300 on orders above ₹600 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
Flavours Curated by ITC Kohenur,4.220+ ratings-- MINSDelivery Time₹ 1500Cost for two,4.220+ ratings-- MINSDelivery Time₹ 1500Cost for two,20+ ratings,"Indian, Continental, North Indian, Biryani, Desserts","Madhapur, Madhapur",Offer20% off up to ₹250 on orders above ₹1000 | Use code PARTY50% off up to ₹100 | Use code SWIGGYIT
LICKIT ICE CREAM,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,Restaurant ClosedIce Cream,"Madhapur, Madhapur",Offer30% off up to ₹300 on orders above ₹800 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
Ankapur Village,3.920+ ratings-- MINSDelivery Time₹ 300Cost for two,3.920+ ratings-- MINSDelivery Time₹ 300Cost for two,20+ ratings,"Andhra, Biryani, Hyderabadi","Madhapur, Madhapur",Offer10% off up to ₹100 on orders above ₹400 | Use code JUMBO10% off up to ₹40 | Use code SWIGGYIT
China Bowl,4.0100+ ratings-- MINSDelivery Time₹ 300Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 300Cost for two,100+ ratings,Seafood,"60 FEET ROAD ,AYYAPPA  SOCIETY, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Paratha Experiment,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"North Indian, South Indian","Madhapur, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
GND Cafe,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,"Desserts, Beverages","Madhapur, Madhapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO40% off up to ₹80 | Use code SWIGGYIT
Palamuru Grill,4.01000+ ratings-- MINSDelivery Time₹ 500Cost for two,4.01000+ ratings-- MINSDelivery Time₹ 500Cost for two,1000+ ratings,"South Indian, Kebabs, Biryani","100 Feet Road, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
Freshery,4.2100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.2100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Healthy Food, Juices, Beverages, Combo, Salads, Snacks","Madhapur, Madhapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO30% off up to ₹65 | Use code SWIGGYIT
MIRCHI,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 12:01 pm, tomorrowIndian","100 FT Road, Madhapur",
Chef Marathi,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Maharashtrian, Snacks","Vittal Rao Nagar, Madhapur",
Burger Affair,3.550+ ratingsClosedFor Delivery₹ 300Cost for two,3.550+ ratingsClosedFor Delivery₹ 300Cost for two,50+ ratings,"Restaurant ClosedFast Food, American","Madhapur, Madhapur",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
Bowl Mania,3.520+ ratingsClosedFor Delivery₹ 450Cost for two,3.520+ ratingsClosedFor Delivery₹ 450Cost for two,20+ ratings,"Opens next at 12 noon, tomorrowSouth Indian","madhapur, Madhapur",Offer40% off up to ₹400 on orders above ₹800 | Use code PARTY50% off up to ₹100 | Use code TRYNEW
Mekong,--Too Few Ratings-- MINSDelivery Time₹ 1200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 1200Cost for two,Too Few Ratings,"Chinese, Asian, Japanese","Madhapur, Madhapur",
Vasireddy Swagruha Foods (Kavuri Hills),4.120+ ratings-- MINSDelivery Time₹ 300Cost for two,4.120+ ratings-- MINSDelivery Time₹ 300Cost for two,20+ ratings,"Sweets, Snacks","kavuri hills, Madhapur",
Baskin Robbins,4.520+ ratings-- MINSDelivery Time₹ 200Cost for two,4.520+ ratings-- MINSDelivery Time₹ 200Cost for two,20+ ratings,"Desserts, Ice Cream","Inorbit Mall, Madhapur",Offer15% off up to ₹100 on orders above ₹500 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Mister Cool,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowIndian, Beverages, Juices, Salads, Ice Cream","Madhapur, Madhapur",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY20% off up to ₹50 | Use code SWIGGYIT
Deccan Biryani Restaurant,3.8100+ ratings-- MINSDelivery Time₹ 400Cost for two,3.8100+ ratings-- MINSDelivery Time₹ 400Cost for two,100+ ratings,Indian,"Madhapur, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Om Sai Ram Tiffins,4.31000+ ratingsClosedFor Delivery₹ 100Cost for two,4.31000+ ratingsClosedFor Delivery₹ 100Cost for two,1000+ ratings,"Opens next at 7 am, tomorrowSouth Indian","Madhapur, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
FRUIT FROSTIES,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowBeverages","Khanamet, Madhapur",
Madhapur Food Court,3.520+ ratingsClosedFor Delivery₹ 350Cost for two,3.520+ ratingsClosedFor Delivery₹ 350Cost for two,20+ ratings,"Opens next at 12 noon, tomorrowBiryani, North Indian, Tandoor","Near Madhapur police station, Guttala begumpet,Madhapur, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Gudgudee-Tickle your tastebuds,4.320+ ratings-- MINSDelivery Time₹ 1000Cost for two,4.320+ ratings-- MINSDelivery Time₹ 1000Cost for two,20+ ratings,"North Indian, Tandoor, Chinese","Metro Pillar Number 1736, Fourth floor,Madhapur, Madhapur",
Ghrelin - Cafe and Patisserie,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 12:15 pm, tomorrowDesserts, Fast Food, Italian","Madhapur, Madhapur",
BLIND CH3MISTRY,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowItalian, Continental, Oriental, Fast Food, Snacks, Beverages, Desserts","Madhapur, Madhapur",
Freak Shake Bro,3.920+ ratings-- MINSDelivery Time₹ 300Cost for two,3.920+ ratings-- MINSDelivery Time₹ 300Cost for two,20+ ratings,"Beverages, Desserts, Ice Cream","Madhapur, Madhapur",Offer40% off up to ₹80 | Use code SWIGGYIT
Express Dhaba-King's Drive In,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 6 pm, todayNorth Indian","Hi tech City rd, Madhapur",
Cakes Club.Com,3.9100+ ratings-- MINSDelivery Time₹ 300Cost for two,3.9100+ ratings-- MINSDelivery Time₹ 300Cost for two,100+ ratings,"Bakery, Desserts","MADHAPUR, Madhapur",Offer15% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
4 Seasons,--Too Few RatingsClosedFor Delivery₹ 500Cost for two,--Too Few RatingsClosedFor Delivery₹ 500Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowMughlai, North Indian, Chinese, Seafood, Salads","Inorbit Mall, Madhapur",
HYDERABAD BIRYANIS ADDA,2.850+ ratingsClosedFor Delivery₹ 500Cost for two,2.850+ ratingsClosedFor Delivery₹ 500Cost for two,50+ ratings,"Opens next at 12 noon, tomorrowBiryani, Indian, Chinese","Madhapur, Madhapur",Offer50% off up to ₹100 | Use code SWIGGYIT
Jarlie - Fine Desserts,4.420+ ratings-- MINSDelivery Time₹ 300Cost for two,4.420+ ratings-- MINSDelivery Time₹ 300Cost for two,20+ ratings,Desserts,"khanampet, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Ohri's Sahib's,4.020+ ratingsClosedFor Delivery₹ 300Cost for two,4.020+ ratingsClosedFor Delivery₹ 300Cost for two,20+ ratings,"Opens next at 12 noon, WednesdayIndian, Haleem, Bakery, Desserts","Shilparamam, Madhapur",Offer30% off up to ₹300 on orders above ₹800 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
The Spicy Kitchen,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,"Indian, North Indian, South Indian","Madhapur, Madhapur",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY20% off up to ₹50 | Use code SWIGGYIT
Biryani Blues,4.0100+ ratings-- MINSDelivery Time₹ 300Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 300Cost for two,100+ ratings,Biryani,"Madhapur, Madhapur",Offer20% off on orders above ₹299 up to ₹65
NAYAK BIRYANIS,--Too Few RatingsClosedFor Delivery₹ 500Cost for two,--Too Few RatingsClosedFor Delivery₹ 500Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowBeverages, Biryani, Chinese, Indian","Madhapur, Madhapur",
Sree Venkateswara Pure Veg,3.620+ ratings-- MINSDelivery Time₹ 100Cost for two,3.620+ ratings-- MINSDelivery Time₹ 100Cost for two,20+ ratings,South Indian,"Journalist Colony, Madhapur",
ANATOLIA,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowTurkish, Fast Food, Kebabs","Madhapur, Madhapur",
Domino's Pizza,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,Too Few Ratings,Pizzas,"V. Madhapur, Madhapur",
WOFL,4.120+ ratings-- MINSDelivery Time₹ 400Cost for two,4.120+ ratings-- MINSDelivery Time₹ 400Cost for two,20+ ratings,"Desserts, American, Italian, Fast Food","100 Feet Road, Madhapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO40% off up to ₹80 | Use code SWIGGYIT
Roast ,--Too Few Ratings-- MINSDelivery Time₹ 850Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 850Cost for two,Too Few Ratings,"Italian, Continental","HUDA Techno Enclave, HITEC City, Madhapur",
